q_month,q_count,q_uu,q_per_uu
2010-01-01 00:00:00 UTC,45154,19964,2.2617711881386495
2010-02-01 00:00:00 UTC,45005,20711,2.1729998551494374
2010-03-01 00:00:00 UTC,52475,23810,2.2039059218815624
2010-04-01 00:00:00 UTC,50273,23922,2.1015383329153079
2010-05-01 00:00:00 UTC,52233,24924,2.0956909003370248
2010-06-01 00:00:00 UTC,56030,26395,2.1227505209319948
2010-07-01 00:00:00 UTC,61134,28289,2.1610519990102159
2010-08-01 00:00:00 UTC,63957,30140,2.1219973457199734
2010-09-01 00:00:00 UTC,61503,29347,2.0957167683238489
2010-10-01 00:00:00 UTC,64092,30233,2.119935170178282
2010-11-01 00:00:00 UTC,70011,32844,2.1316222141030323
2010-12-01 00:00:00 UTC,69917,33282,2.1007451475271917
2011-01-01 00:00:00 UTC,80362,37509,2.1424724732730813
2011-02-01 00:00:00 UTC,83401,40335,2.0677079459526464
2011-03-01 00:00:00 UTC,101577,47040,2.159375
2011-04-01 00:00:00 UTC,96184,45633,2.1077728836587557
2011-05-01 00:00:00 UTC,101021,47912,2.1084696944398065
2011-06-01 00:00:00 UTC,99864,47828,2.087981935268044
2011-07-01 00:00:00 UTC,101454,49215,2.0614446814995429
2011-08-01 00:00:00 UTC,108039,52420,2.061026325829836
2011-09-01 00:00:00 UTC,102968,51200,2.01109375
2011-10-01 00:00:00 UTC,102293,50080,2.0425918530351437
2011-11-01 00:00:00 UTC,109881,53306,2.0613251791543168
2011-12-01 00:00:00 UTC,104625,51974,2.0130257436410512
2012-01-01 00:00:00 UTC,117220,57938,2.0231972108115572
2012-02-01 00:00:00 UTC,125054,62343,2.0059028279036939
2012-03-01 00:00:00 UTC,135055,67029,2.0148741589461276
2012-04-01 00:00:00 UTC,130166,65851,1.9766746139010798
2012-05-01 00:00:00 UTC,135766,68333,1.9868292040448978
2012-06-01 00:00:00 UTC,131996,67756,1.9481079166420685
2012-07-01 00:00:00 UTC,143332,72182,1.9857028067939375
2012-08-01 00:00:00 UTC,142635,72743,1.9608072254374991
2012-09-01 00:00:00 UTC,133405,71241,1.8725874145506098
2012-10-01 00:00:00 UTC,151315,79993,1.8916030152638357
2012-11-01 00:00:00 UTC,149468,80913,1.8472680533412431
2012-12-01 00:00:00 UTC,136528,74464,1.8334765792866352
2013-01-01 00:00:00 UTC,159049,84726,1.8772159667634492
2013-02-01 00:00:00 UTC,154560,84266,1.8341917262003655
2013-03-01 00:00:00 UTC,175327,94293,1.8593851081204331
2013-04-01 00:00:00 UTC,173147,94615,1.8300163821804154
2013-05-01 00:00:00 UTC,168359,92682,1.8165231652316522
2013-06-01 00:00:00 UTC,160210,88917,1.801792683063981
2013-07-01 00:00:00 UTC,178942,96021,1.8635715103987669
2013-08-01 00:00:00 UTC,172344,93555,1.8421677088343755
2013-09-01 00:00:00 UTC,167574,93604,1.7902440066663818
2013-10-01 00:00:00 UTC,186525,103382,1.8042309106033931
2013-11-01 00:00:00 UTC,178557,100791,1.7715569842545464
2013-12-01 00:00:00 UTC,167435,95104,1.7605463492597577
2014-01-01 00:00:00 UTC,191296,105679,1.8101609591309531
2014-02-01 00:00:00 UTC,190308,106488,1.7871309443317558
2014-03-01 00:00:00 UTC,210202,115479,1.8202616926021182
2014-04-01 00:00:00 UTC,197069,109753,1.7955682304811713
2014-05-01 00:00:00 UTC,178727,103929,1.7197028740774951
2014-06-01 00:00:00 UTC,164792,98381,1.6750388794584321
2014-07-01 00:00:00 UTC,179505,104850,1.7120171673819742
2014-08-01 00:00:00 UTC,165572,98711,1.6773409245170245
2014-09-01 00:00:00 UTC,168106,101731,1.6524559868673265
2014-10-01 00:00:00 UTC,175057,107072,1.6349465780035863
2014-11-01 00:00:00 UTC,168755,104530,1.6144169138046494
2014-12-01 00:00:00 UTC,157228,98198,1.6011324059553147
2015-01-01 00:00:00 UTC,167951,103398,1.6243157507882164
2015-02-01 00:00:00 UTC,170309,106207,1.6035572043273985
2015-03-01 00:00:00 UTC,192006,117585,1.6329123612705703
2015-04-01 00:00:00 UTC,191956,117088,1.6394165072424161
2015-05-01 00:00:00 UTC,187764,114048,1.6463594276094276
2015-06-01 00:00:00 UTC,189879,114654,1.656104453398922
2015-07-01 00:00:00 UTC,197442,117107,1.6859965672419241
2015-08-01 00:00:00 UTC,183172,110226,1.6617857855678333
2015-09-01 00:00:00 UTC,179566,109642,1.6377483081300961
2015-10-01 00:00:00 UTC,188305,115309,1.6330468567067618
2015-11-01 00:00:00 UTC,179970,111492,1.6141965342804865
2015-12-01 00:00:00 UTC,174217,107549,1.6198848896781932
2016-01-01 00:00:00 UTC,182924,112665,1.6236098167132651
2016-02-01 00:00:00 UTC,190238,117363,1.6209367517871902
2016-03-01 00:00:00 UTC,203678,125293,1.6256135618111147
2016-04-01 00:00:00 UTC,198712,122618,1.6205777292077834
2016-05-01 00:00:00 UTC,191341,118632,1.6128953402117472
2016-06-01 00:00:00 UTC,186103,116032,1.6038937534473248
2016-07-01 00:00:00 UTC,178491,111656,1.5985795658092714
2016-08-01 00:00:00 UTC,183368,114088,1.6072505434401514
2016-09-01 00:00:00 UTC,173149,110563,1.56606640557872
2016-10-01 00:00:00 UTC,176839,112906,1.5662498007191823
2016-11-01 00:00:00 UTC,176786,113416,1.5587395076532411
2016-12-01 00:00:00 UTC,163751,106207,1.5418098618735112
2017-01-01 00:00:00 UTC,178431,113822,1.5676319165012036
2017-02-01 00:00:00 UTC,176789,114791,1.5400946067200389
2017-03-01 00:00:00 UTC,203342,129221,1.5735987184745512
2017-04-01 00:00:00 UTC,180330,117409,1.5359129197932015
2017-05-01 00:00:00 UTC,188229,121150,1.5536855138258356
2017-06-01 00:00:00 UTC,179948,116215,1.5484059716904015
2017-07-01 00:00:00 UTC,181444,115950,1.5648469167744719
2017-08-01 00:00:00 UTC,179241,115372,1.5535918593766251
2017-09-01 00:00:00 UTC,163867,107861,1.5192423582203021
2017-10-01 00:00:00 UTC,171797,113784,1.5098520002812346
2017-11-01 00:00:00 UTC,170820,113822,1.5007643513556255
2017-12-01 00:00:00 UTC,146789,99765,1.4713476670174912
2018-01-01 00:00:00 UTC,162059,108185,1.4979803115034431
2018-02-01 00:00:00 UTC,154702,105022,1.4730437432157071
2018-03-01 00:00:00 UTC,174900,117583,1.4874599219274895
2018-04-01 00:00:00 UTC,164188,110608,1.4844134239837987
2018-05-01 00:00:00 UTC,169322,113203,1.4957377454661096
2018-06-01 00:00:00 UTC,156145,104790,1.4900753888729841
2018-07-01 00:00:00 UTC,161307,107684,1.4979662716838156
2018-08-01 00:00:00 UTC,160256,107261,1.494075199746413
2018-09-01 00:00:00 UTC,146305,99130,1.4758902451326541
2018-10-01 00:00:00 UTC,162523,109321,1.4866585559956458
2018-11-01 00:00:00 UTC,151888,104028,1.4600684431114699
2018-12-01 00:00:00 UTC,134140,92949,1.4431570000753102
2019-01-01 00:00:00 UTC,151608,103543,1.4642032778652347
2019-02-01 00:00:00 UTC,148450,101902,1.4567918195913721
2019-03-01 00:00:00 UTC,163544,111122,1.4717517683267041
2019-04-01 00:00:00 UTC,155800,107495,1.4493697381273547
2019-05-01 00:00:00 UTC,153670,105458,1.4571677824347133
2019-06-01 00:00:00 UTC,138101,95100,1.4521661409043112
2019-07-01 00:00:00 UTC,152921,103726,1.47427838728959
2019-08-01 00:00:00 UTC,138557,95331,1.4534306783732469
2019-09-01 00:00:00 UTC,138291,95883,1.4422890397672163
2019-10-01 00:00:00 UTC,154341,105724,1.4598482842117211
2019-11-01 00:00:00 UTC,150032,103118,1.4549545181248666
2019-12-01 00:00:00 UTC,134213,93342,1.4378629127295321
2020-01-01 00:00:00 UTC,148616,101621,1.4624536267110144
2020-02-01 00:00:00 UTC,147212,101458,1.4509649313016224
2020-03-01 00:00:00 UTC,158380,109012,1.4528675742120134
2020-04-01 00:00:00 UTC,185803,124563,1.4916387691369026
2020-05-01 00:00:00 UTC,201846,133472,1.5122722368736514
2020-06-01 00:00:00 UTC,208842,138017,1.5131614221436489
2020-07-01 00:00:00 UTC,200623,132561,1.5134390959633679
2020-08-01 00:00:00 UTC,13924,12290,1.1329536208299431
