fav_count,q_total,q_next_in28days_count,q_next_after29days_count,q_no_repeat_count,q_retention_28days,q_retention_after29days,no_repeat_rate
464,12,11,1,0,0.91666666666666663,0.083333333333333329,0
465,14,8,6,0,0.5714285714285714,0.42857142857142855,0
466,18,13,5,0,0.72222222222222221,0.27777777777777779,0
467,19,17,2,0,0.89473684210526316,0.10526315789473684,0
468,18,16,1,1,0.88888888888888884,0.055555555555555552,0.055555555555555552
469,14,9,2,3,0.6428571428571429,0.14285714285714285,0.21428571428571427
470,17,12,4,1,0.70588235294117652,0.23529411764705882,0.058823529411764705
471,17,13,3,1,0.76470588235294112,0.17647058823529413,0.058823529411764705
472,18,12,5,1,0.66666666666666663,0.27777777777777779,0.055555555555555552
473,15,9,5,1,0.6,0.33333333333333331,0.066666666666666666
474,12,9,3,0,0.75,0.25,0
475,13,8,2,3,0.61538461538461542,0.15384615384615385,0.23076923076923078
476,13,8,4,1,0.61538461538461542,0.30769230769230771,0.076923076923076927
477,11,7,4,0,0.63636363636363635,0.36363636363636365,0
478,15,10,4,1,0.66666666666666663,0.26666666666666666,0.066666666666666666
479,15,12,2,1,0.8,0.13333333333333333,0.066666666666666666
480,13,11,2,0,0.84615384615384615,0.15384615384615385,0
481,13,11,2,0,0.84615384615384615,0.15384615384615385,0
482,15,11,3,1,0.73333333333333328,0.2,0.066666666666666666
483,11,8,0,3,0.72727272727272729,0,0.27272727272727271
484,16,12,4,0,0.75,0.25,0
485,14,10,2,2,0.7142857142857143,0.14285714285714285,0.14285714285714285
486,15,11,3,1,0.73333333333333328,0.2,0.066666666666666666
487,7,6,1,0,0.8571428571428571,0.14285714285714285,0
488,13,6,5,2,0.46153846153846156,0.38461538461538464,0.15384615384615385
489,18,15,2,1,0.83333333333333337,0.1111111111111111,0.055555555555555552
490,18,8,8,2,0.44444444444444442,0.44444444444444442,0.1111111111111111
491,15,6,6,3,0.4,0.4,0.2
492,18,16,2,0,0.88888888888888884,0.1111111111111111,0
493,15,10,5,0,0.66666666666666663,0.33333333333333331,0
494,13,9,3,1,0.69230769230769229,0.23076923076923078,0.076923076923076927
495,14,11,3,0,0.7857142857142857,0.21428571428571427,0
496,9,7,1,1,0.77777777777777779,0.1111111111111111,0.1111111111111111
497,14,12,2,0,0.8571428571428571,0.14285714285714285,0
498,17,13,4,0,0.76470588235294112,0.23529411764705882,0
499,10,7,2,1,0.7,0.2,0.1
500,16,12,4,0,0.75,0.25,0
501,20,12,5,3,0.6,0.25,0.15
502,13,9,3,1,0.69230769230769229,0.23076923076923078,0.076923076923076927
503,18,11,6,1,0.61111111111111116,0.33333333333333331,0.055555555555555552
504,15,10,5,0,0.66666666666666663,0.33333333333333331,0
505,19,13,4,2,0.68421052631578949,0.21052631578947367,0.10526315789473684
506,14,11,3,0,0.7857142857142857,0.21428571428571427,0
507,15,10,3,2,0.66666666666666663,0.2,0.13333333333333333
508,13,8,3,2,0.61538461538461542,0.23076923076923078,0.15384615384615385
509,9,7,2,0,0.77777777777777779,0.22222222222222221,0
510,13,12,1,0,0.92307692307692313,0.076923076923076927,0
511,12,8,3,1,0.66666666666666663,0.25,0.083333333333333329
512,7,6,0,1,0.8571428571428571,0,0.14285714285714285
513,8,4,2,2,0.5,0.25,0.25
514,8,8,0,0,1,0,0
515,14,9,4,1,0.6428571428571429,0.2857142857142857,0.071428571428571425
516,11,8,2,1,0.72727272727272729,0.18181818181818182,0.090909090909090912
517,6,3,3,0,0.5,0.5,0
518,10,4,5,1,0.4,0.5,0.1
519,7,5,2,0,0.7142857142857143,0.2857142857142857,0
520,13,10,3,0,0.76923076923076927,0.23076923076923078,0
521,7,7,0,0,1,0,0
522,8,6,2,0,0.75,0.25,0
523,14,10,2,2,0.7142857142857143,0.14285714285714285,0.14285714285714285
524,11,9,2,0,0.81818181818181823,0.18181818181818182,0
525,9,6,3,0,0.66666666666666663,0.33333333333333331,0
526,6,4,2,0,0.66666666666666663,0.33333333333333331,0
527,7,4,3,0,0.5714285714285714,0.42857142857142855,0
528,6,4,1,1,0.66666666666666663,0.16666666666666666,0.16666666666666666
529,15,11,4,0,0.73333333333333328,0.26666666666666666,0
530,9,7,1,1,0.77777777777777779,0.1111111111111111,0.1111111111111111
531,6,4,1,1,0.66666666666666663,0.16666666666666666,0.16666666666666666
532,17,13,3,1,0.76470588235294112,0.17647058823529413,0.058823529411764705
533,6,4,2,0,0.66666666666666663,0.33333333333333331,0
534,9,6,3,0,0.66666666666666663,0.33333333333333331,0
535,13,11,2,0,0.84615384615384615,0.15384615384615385,0
536,9,6,3,0,0.66666666666666663,0.33333333333333331,0
537,6,5,0,1,0.83333333333333337,0,0.16666666666666666
538,9,6,3,0,0.66666666666666663,0.33333333333333331,0
539,9,5,3,1,0.55555555555555558,0.33333333333333331,0.1111111111111111
540,7,7,0,0,1,0,0
541,6,4,1,1,0.66666666666666663,0.16666666666666666,0.16666666666666666
542,9,4,3,2,0.44444444444444442,0.33333333333333331,0.22222222222222221
543,8,8,0,0,1,0,0
544,10,5,3,2,0.5,0.3,0.2
545,15,11,0,4,0.73333333333333328,0,0.26666666666666666
546,8,6,1,1,0.75,0.125,0.125
547,7,5,1,1,0.7142857142857143,0.14285714285714285,0.14285714285714285
548,8,5,2,1,0.625,0.25,0.125
549,13,10,2,1,0.76923076923076927,0.15384615384615385,0.076923076923076927
550,6,5,1,0,0.83333333333333337,0.16666666666666666,0
551,9,5,2,2,0.55555555555555558,0.22222222222222221,0.22222222222222221
552,11,8,2,1,0.72727272727272729,0.18181818181818182,0.090909090909090912
553,11,7,3,1,0.63636363636363635,0.27272727272727271,0.090909090909090912
554,9,6,2,1,0.66666666666666663,0.22222222222222221,0.1111111111111111
555,9,7,2,0,0.77777777777777779,0.22222222222222221,0
556,9,7,2,0,0.77777777777777779,0.22222222222222221,0
557,7,4,3,0,0.5714285714285714,0.42857142857142855,0
558,6,4,2,0,0.66666666666666663,0.33333333333333331,0
559,6,6,0,0,1,0,0
560,11,10,1,0,0.90909090909090906,0.090909090909090912,0
561,12,6,5,1,0.5,0.41666666666666669,0.083333333333333329
562,14,7,5,2,0.5,0.35714285714285715,0.14285714285714285
563,5,5,0,0,1,0,0
564,9,5,4,0,0.55555555555555558,0.44444444444444442,0
565,13,11,2,0,0.84615384615384615,0.15384615384615385,0
566,9,5,4,0,0.55555555555555558,0.44444444444444442,0
567,7,6,1,0,0.8571428571428571,0.14285714285714285,0
568,14,9,5,0,0.6428571428571429,0.35714285714285715,0
569,10,8,0,2,0.8,0,0.2
570,12,9,2,1,0.75,0.16666666666666666,0.083333333333333329
571,11,7,2,2,0.63636363636363635,0.18181818181818182,0.18181818181818182
572,9,8,1,0,0.88888888888888884,0.1111111111111111,0
573,12,9,2,1,0.75,0.16666666666666666,0.083333333333333329
574,12,8,3,1,0.66666666666666663,0.25,0.083333333333333329
575,12,9,2,1,0.75,0.16666666666666666,0.083333333333333329
576,6,5,1,0,0.83333333333333337,0.16666666666666666,0
577,13,10,3,0,0.76923076923076927,0.23076923076923078,0
578,8,7,0,1,0.875,0,0.125
579,16,13,2,1,0.8125,0.125,0.0625
580,12,11,1,0,0.91666666666666663,0.083333333333333329,0
581,10,8,1,1,0.8,0.1,0.1
582,4,4,0,0,1,0,0
583,9,6,2,1,0.66666666666666663,0.22222222222222221,0.1111111111111111
584,12,10,1,1,0.83333333333333337,0.083333333333333329,0.083333333333333329
585,6,5,1,0,0.83333333333333337,0.16666666666666666,0
586,11,11,0,0,1,0,0
587,12,10,2,0,0.83333333333333337,0.16666666666666666,0
588,5,4,0,1,0.8,0,0.2
589,6,6,0,0,1,0,0
590,7,6,0,1,0.8571428571428571,0,0.14285714285714285
591,1,1,0,0,1,0,0
592,10,8,2,0,0.8,0.2,0
593,6,5,1,0,0.83333333333333337,0.16666666666666666,0
594,11,9,0,2,0.81818181818181823,0,0.18181818181818182
595,10,8,2,0,0.8,0.2,0
596,5,3,2,0,0.6,0.4,0
597,3,1,2,0,0.33333333333333331,0.66666666666666663,0
598,12,7,4,1,0.58333333333333337,0.33333333333333331,0.083333333333333329
599,9,5,3,1,0.55555555555555558,0.33333333333333331,0.1111111111111111
600,6,5,1,0,0.83333333333333337,0.16666666666666666,0
601,9,6,2,1,0.66666666666666663,0.22222222222222221,0.1111111111111111
602,7,5,2,0,0.7142857142857143,0.2857142857142857,0
603,9,7,1,1,0.77777777777777779,0.1111111111111111,0.1111111111111111
604,5,4,1,0,0.8,0.2,0
605,7,6,1,0,0.8571428571428571,0.14285714285714285,0
606,3,3,0,0,1,0,0
607,4,4,0,0,1,0,0
608,12,9,3,0,0.75,0.25,0
609,6,4,1,1,0.66666666666666663,0.16666666666666666,0.16666666666666666
610,4,2,1,1,0.5,0.25,0.25
611,5,3,2,0,0.6,0.4,0
612,7,4,2,1,0.5714285714285714,0.2857142857142857,0.14285714285714285
613,6,4,2,0,0.66666666666666663,0.33333333333333331,0
614,9,4,5,0,0.44444444444444442,0.55555555555555558,0
615,5,4,0,1,0.8,0,0.2
616,14,10,2,2,0.7142857142857143,0.14285714285714285,0.14285714285714285
617,8,5,2,1,0.625,0.25,0.125
618,4,2,2,0,0.5,0.5,0
619,8,4,3,1,0.5,0.375,0.125
620,12,9,2,1,0.75,0.16666666666666666,0.083333333333333329
621,7,7,0,0,1,0,0
622,5,4,1,0,0.8,0.2,0
623,7,5,2,0,0.7142857142857143,0.2857142857142857,0
624,10,7,3,0,0.7,0.3,0
625,9,5,2,2,0.55555555555555558,0.22222222222222221,0.22222222222222221
626,6,5,1,0,0.83333333333333337,0.16666666666666666,0
627,13,8,4,1,0.61538461538461542,0.30769230769230771,0.076923076923076927
628,10,6,4,0,0.6,0.4,0
629,4,4,0,0,1,0,0
630,6,3,2,1,0.5,0.33333333333333331,0.16666666666666666
631,7,5,1,1,0.7142857142857143,0.14285714285714285,0.14285714285714285
632,6,5,1,0,0.83333333333333337,0.16666666666666666,0
633,9,7,2,0,0.77777777777777779,0.22222222222222221,0
634,5,3,2,0,0.6,0.4,0
635,10,6,4,0,0.6,0.4,0
636,10,9,1,0,0.9,0.1,0
637,7,5,2,0,0.7142857142857143,0.2857142857142857,0
638,5,3,2,0,0.6,0.4,0
639,10,5,5,0,0.5,0.5,0
640,14,9,5,0,0.6428571428571429,0.35714285714285715,0
641,9,8,1,0,0.88888888888888884,0.1111111111111111,0
642,4,3,1,0,0.75,0.25,0
643,3,2,1,0,0.66666666666666663,0.33333333333333331,0
644,10,9,1,0,0.9,0.1,0
645,12,9,3,0,0.75,0.25,0
646,2,2,0,0,1,0,0
647,7,5,2,0,0.7142857142857143,0.2857142857142857,0
648,5,3,0,2,0.6,0,0.4
649,7,4,3,0,0.5714285714285714,0.42857142857142855,0
650,5,4,1,0,0.8,0.2,0
651,8,5,2,1,0.625,0.25,0.125
652,3,2,1,0,0.66666666666666663,0.33333333333333331,0
653,6,4,2,0,0.66666666666666663,0.33333333333333331,0
654,9,5,4,0,0.55555555555555558,0.44444444444444442,0
655,8,6,2,0,0.75,0.25,0
656,9,6,2,1,0.66666666666666663,0.22222222222222221,0.1111111111111111
657,9,6,2,1,0.66666666666666663,0.22222222222222221,0.1111111111111111
658,2,2,0,0,1,0,0
659,6,6,0,0,1,0,0
660,6,3,3,0,0.5,0.5,0
661,10,7,1,2,0.7,0.1,0.2
662,3,2,1,0,0.66666666666666663,0.33333333333333331,0
663,9,8,1,0,0.88888888888888884,0.1111111111111111,0
664,2,2,0,0,1,0,0
665,6,5,1,0,0.83333333333333337,0.16666666666666666,0
666,4,2,2,0,0.5,0.5,0
667,3,3,0,0,1,0,0
668,5,2,2,1,0.4,0.4,0.2
669,6,6,0,0,1,0,0
670,7,4,1,2,0.5714285714285714,0.14285714285714285,0.2857142857142857
671,8,5,2,1,0.625,0.25,0.125
672,7,2,3,2,0.2857142857142857,0.42857142857142855,0.2857142857142857
673,8,4,4,0,0.5,0.5,0
674,6,5,1,0,0.83333333333333337,0.16666666666666666,0
675,5,4,0,1,0.8,0,0.2
676,5,4,0,1,0.8,0,0.2
677,6,4,2,0,0.66666666666666663,0.33333333333333331,0
678,4,3,1,0,0.75,0.25,0
679,6,3,3,0,0.5,0.5,0
680,2,2,0,0,1,0,0
681,3,1,2,0,0.33333333333333331,0.66666666666666663,0
682,6,3,1,2,0.5,0.16666666666666666,0.33333333333333331
683,5,2,1,2,0.4,0.2,0.4
684,3,3,0,0,1,0,0
685,5,4,1,0,0.8,0.2,0
686,12,4,8,0,0.33333333333333331,0.66666666666666663,0
687,6,4,2,0,0.66666666666666663,0.33333333333333331,0
688,10,6,3,1,0.6,0.3,0.1
689,3,2,0,1,0.66666666666666663,0,0.33333333333333331
690,5,3,1,1,0.6,0.2,0.2
691,5,2,3,0,0.4,0.6,0
692,5,3,2,0,0.6,0.4,0
693,3,2,1,0,0.66666666666666663,0.33333333333333331,0
694,5,3,2,0,0.6,0.4,0
695,9,7,2,0,0.77777777777777779,0.22222222222222221,0
696,8,6,2,0,0.75,0.25,0
697,7,4,3,0,0.5714285714285714,0.42857142857142855,0
698,2,1,1,0,0.5,0.5,0
699,6,5,1,0,0.83333333333333337,0.16666666666666666,0
700,7,5,2,0,0.7142857142857143,0.2857142857142857,0
701,3,1,2,0,0.33333333333333331,0.66666666666666663,0
702,4,3,1,0,0.75,0.25,0
703,3,3,0,0,1,0,0
704,2,2,0,0,1,0,0
705,1,0,1,0,0,1,0
706,4,4,0,0,1,0,0
707,2,1,1,0,0.5,0.5,0
708,4,4,0,0,1,0,0
709,7,3,4,0,0.42857142857142855,0.5714285714285714,0
710,2,1,1,0,0.5,0.5,0
711,3,3,0,0,1,0,0
712,8,5,3,0,0.625,0.375,0
713,5,4,0,1,0.8,0,0.2
714,3,3,0,0,1,0,0
715,5,5,0,0,1,0,0
716,6,4,2,0,0.66666666666666663,0.33333333333333331,0
717,7,3,3,1,0.42857142857142855,0.42857142857142855,0.14285714285714285
718,6,6,0,0,1,0,0
719,2,2,0,0,1,0,0
720,1,1,0,0,1,0,0
721,3,1,2,0,0.33333333333333331,0.66666666666666663,0
722,4,2,2,0,0.5,0.5,0
723,10,6,3,1,0.6,0.3,0.1
724,7,2,4,1,0.2857142857142857,0.5714285714285714,0.14285714285714285
725,7,4,3,0,0.5714285714285714,0.42857142857142855,0
726,5,2,3,0,0.4,0.6,0
727,7,6,1,0,0.8571428571428571,0.14285714285714285,0
728,1,1,0,0,1,0,0
729,6,6,0,0,1,0,0
730,4,2,0,2,0.5,0,0.5
731,4,3,1,0,0.75,0.25,0
732,3,3,0,0,1,0,0
733,3,0,2,1,0,0.66666666666666663,0.33333333333333331
734,7,7,0,0,1,0,0
735,3,2,1,0,0.66666666666666663,0.33333333333333331,0
736,2,0,2,0,0,1,0
737,4,3,1,0,0.75,0.25,0
738,5,4,0,1,0.8,0,0.2
739,4,3,0,1,0.75,0,0.25
740,1,1,0,0,1,0,0
741,4,4,0,0,1,0,0
742,3,3,0,0,1,0,0
743,2,2,0,0,1,0,0
744,4,3,1,0,0.75,0.25,0
745,4,4,0,0,1,0,0
746,6,4,1,1,0.66666666666666663,0.16666666666666666,0.16666666666666666
747,5,2,3,0,0.4,0.6,0
748,2,2,0,0,1,0,0
749,1,1,0,0,1,0,0
750,8,8,0,0,1,0,0
751,2,2,0,0,1,0,0
752,1,0,1,0,0,1,0
753,2,1,1,0,0.5,0.5,0
754,3,2,1,0,0.66666666666666663,0.33333333333333331,0
755,4,3,1,0,0.75,0.25,0
756,4,4,0,0,1,0,0
757,5,4,1,0,0.8,0.2,0
758,2,2,0,0,1,0,0
759,4,3,0,1,0.75,0,0.25
760,3,3,0,0,1,0,0
761,3,1,2,0,0.33333333333333331,0.66666666666666663,0
762,4,2,2,0,0.5,0.5,0
763,2,0,2,0,0,1,0
764,3,2,1,0,0.66666666666666663,0.33333333333333331,0
765,3,2,1,0,0.66666666666666663,0.33333333333333331,0
766,3,3,0,0,1,0,0
767,4,2,2,0,0.5,0.5,0
768,5,3,2,0,0.6,0.4,0
769,3,3,0,0,1,0,0
770,2,1,0,1,0.5,0,0.5
771,3,3,0,0,1,0,0
772,4,3,0,1,0.75,0,0.25
773,5,3,1,1,0.6,0.2,0.2
774,3,1,0,2,0.33333333333333331,0,0.66666666666666663
775,7,5,2,0,0.7142857142857143,0.2857142857142857,0
776,9,8,1,0,0.88888888888888884,0.1111111111111111,0
777,4,3,1,0,0.75,0.25,0
778,1,1,0,0,1,0,0
779,5,3,2,0,0.6,0.4,0
780,3,3,0,0,1,0,0
781,2,0,1,1,0,0.5,0.5
782,5,4,1,0,0.8,0.2,0
783,3,2,1,0,0.66666666666666663,0.33333333333333331,0
784,5,5,0,0,1,0,0
785,3,2,1,0,0.66666666666666663,0.33333333333333331,0
786,1,1,0,0,1,0,0
787,4,3,0,1,0.75,0,0.25
788,4,3,0,1,0.75,0,0.25
790,1,0,1,0,0,1,0
791,3,2,0,1,0.66666666666666663,0,0.33333333333333331
792,3,1,2,0,0.33333333333333331,0.66666666666666663,0
793,6,5,0,1,0.83333333333333337,0,0.16666666666666666
794,4,3,1,0,0.75,0.25,0
795,6,4,2,0,0.66666666666666663,0.33333333333333331,0
797,4,4,0,0,1,0,0
798,5,4,0,1,0.8,0,0.2
799,5,4,1,0,0.8,0.2,0
800,1,1,0,0,1,0,0
801,3,3,0,0,1,0,0
802,1,0,0,1,0,0,1
803,2,1,1,0,0.5,0.5,0
804,3,3,0,0,1,0,0
805,2,0,2,0,0,1,0
807,3,3,0,0,1,0,0
808,4,3,1,0,0.75,0.25,0
810,2,1,1,0,0.5,0.5,0
811,1,1,0,0,1,0,0
812,3,3,0,0,1,0,0
813,2,2,0,0,1,0,0
814,1,0,0,1,0,0,1
815,7,6,0,1,0.8571428571428571,0,0.14285714285714285
816,2,1,1,0,0.5,0.5,0
817,5,5,0,0,1,0,0
818,4,3,1,0,0.75,0.25,0
819,4,4,0,0,1,0,0
820,6,5,1,0,0.83333333333333337,0.16666666666666666,0
821,5,2,1,2,0.4,0.2,0.4
823,2,2,0,0,1,0,0
824,2,1,1,0,0.5,0.5,0
825,3,2,0,1,0.66666666666666663,0,0.33333333333333331
826,5,5,0,0,1,0,0
827,4,1,2,1,0.25,0.5,0.25
828,4,4,0,0,1,0,0
829,4,4,0,0,1,0,0
830,4,3,1,0,0.75,0.25,0
831,7,4,2,1,0.5714285714285714,0.2857142857142857,0.14285714285714285
832,2,2,0,0,1,0,0
833,3,1,1,1,0.33333333333333331,0.33333333333333331,0.33333333333333331
834,3,3,0,0,1,0,0
835,1,1,0,0,1,0,0
836,3,3,0,0,1,0,0
837,1,0,1,0,0,1,0
838,4,3,1,0,0.75,0.25,0
839,1,1,0,0,1,0,0
840,4,3,1,0,0.75,0.25,0
841,1,1,0,0,1,0,0
842,3,3,0,0,1,0,0
843,3,2,1,0,0.66666666666666663,0.33333333333333331,0
844,4,1,2,1,0.25,0.5,0.25
846,3,2,0,1,0.66666666666666663,0,0.33333333333333331
847,1,1,0,0,1,0,0
848,2,1,1,0,0.5,0.5,0
849,1,0,1,0,0,1,0
850,4,3,1,0,0.75,0.25,0
851,2,2,0,0,1,0,0
852,1,1,0,0,1,0,0
853,3,2,1,0,0.66666666666666663,0.33333333333333331,0
854,1,1,0,0,1,0,0
855,7,6,1,0,0.8571428571428571,0.14285714285714285,0
856,5,4,0,1,0.8,0,0.2
857,2,2,0,0,1,0,0
858,2,2,0,0,1,0,0
859,2,0,1,1,0,0.5,0.5
860,4,3,1,0,0.75,0.25,0
861,6,6,0,0,1,0,0
862,1,1,0,0,1,0,0
863,1,1,0,0,1,0,0
864,5,4,1,0,0.8,0.2,0
865,7,3,3,1,0.42857142857142855,0.42857142857142855,0.14285714285714285
866,1,0,0,1,0,0,1
867,6,6,0,0,1,0,0
868,4,0,4,0,0,1,0
869,2,0,1,1,0,0.5,0.5
870,2,2,0,0,1,0,0
872,2,2,0,0,1,0,0
873,1,1,0,0,1,0,0
874,2,0,1,1,0,0.5,0.5
875,1,1,0,0,1,0,0
876,3,3,0,0,1,0,0
880,2,2,0,0,1,0,0
881,2,2,0,0,1,0,0
884,3,2,1,0,0.66666666666666663,0.33333333333333331,0
885,3,1,2,0,0.33333333333333331,0.66666666666666663,0
886,5,4,1,0,0.8,0.2,0
887,5,5,0,0,1,0,0
888,2,2,0,0,1,0,0
889,2,2,0,0,1,0,0
890,4,2,2,0,0.5,0.5,0
891,3,2,0,1,0.66666666666666663,0,0.33333333333333331
892,2,1,1,0,0.5,0.5,0
893,5,2,2,1,0.4,0.4,0.2
894,2,2,0,0,1,0,0
895,4,3,1,0,0.75,0.25,0
896,3,2,0,1,0.66666666666666663,0,0.33333333333333331
897,1,1,0,0,1,0,0
899,2,2,0,0,1,0,0
900,2,1,0,1,0.5,0,0.5
901,2,1,1,0,0.5,0.5,0
902,3,3,0,0,1,0,0
903,3,2,1,0,0.66666666666666663,0.33333333333333331,0
904,4,4,0,0,1,0,0
905,3,2,1,0,0.66666666666666663,0.33333333333333331,0
906,4,2,2,0,0.5,0.5,0
907,2,2,0,0,1,0,0
908,5,4,1,0,0.8,0.2,0
909,2,2,0,0,1,0,0
910,3,3,0,0,1,0,0
911,3,1,1,1,0.33333333333333331,0.33333333333333331,0.33333333333333331
912,1,0,1,0,0,1,0
