population の SUM,frequency_,,,,,,,,,,,
recency_,1,2,3,4,5,6,7,8,9,10,11,総計
28,"33,892","16,024","9,996","7,185","5,617","4,469","3,665","3,041","2,513","2,082","24,157","112,641"
56,"33,356","14,275","8,882","6,141","4,549","3,619","2,868","2,294","1,872","1,558","14,281","93,695"
84,"34,629","14,143","8,462","5,742","4,129","3,308","2,495","1,991","1,633","1,384","10,769","88,685"
112,"35,166","13,577","7,911","5,164","3,723","2,901","2,173","1,749","1,407","1,141","8,713","83,625"
140,"30,535","11,603","6,550","4,412","3,136","2,380","1,957","1,457","1,188",900,"6,522","70,640"
168,"26,681","9,838","5,493","3,812","2,745","2,061","1,583","1,136",916,762,"5,131","60,158"
196,"22,779","8,744","4,924","3,278","2,412","1,758","1,407","1,116",838,654,"4,519","52,429"
224,"22,469","8,503","4,783","3,167","2,288","1,707","1,343","1,013",761,635,"3,961","50,630"
252,"18,270","6,774","3,731","2,485","1,768","1,337",986,743,574,488,"2,834","39,990"
280,"20,983","7,695","4,401","2,832","1,959","1,528","1,081",867,643,482,"3,040","45,511"
308,"22,507","7,946","4,389","2,785","1,922","1,480","1,106",833,658,485,"2,878","46,989"
336,"21,848","7,572","4,038","2,551","1,762","1,242","1,010",740,557,395,"2,495","44,210"
364,"20,261","7,049","3,897","2,415","1,700","1,259",946,690,581,412,"2,358","41,568"
392,"18,454","6,655","3,683","2,346","1,556","1,194",855,672,444,407,"2,029","38,295"
420,"21,057","7,393","3,921","2,469","1,653","1,234",912,654,509,385,"2,051","42,238"
448,"20,066","6,900","3,592","2,270","1,614","1,190",915,644,468,358,"1,955","39,972"
476,"20,498","7,143","3,742","2,342","1,611","1,099",813,604,452,325,"1,784","40,413"
504,"21,026","7,287","3,812","2,383","1,637","1,090",856,575,481,356,"1,713","41,216"
532,"23,055","7,823","4,027","2,502","1,657","1,224",821,596,452,346,"1,785","44,288"
560,"22,036","7,487","3,943","2,418","1,644","1,191",862,588,424,383,"1,676","42,652"
588,"21,295","7,193","3,628","2,151","1,465","1,004",737,551,409,285,"1,453","40,171"
616,"17,231","5,659","2,916","1,841","1,176",773,605,437,341,229,"1,127","32,335"
644,"19,236","6,642","3,252","2,062","1,494",911,705,508,391,276,"1,241","36,718"
672,"19,702","6,710","3,339","2,029","1,383",920,675,471,355,300,"1,160","37,044"
700,"20,131","6,704","3,415","1,994","1,292",955,672,482,332,233,"1,265","37,475"
728,"19,138","6,246","3,226","1,883","1,269",845,647,484,338,230,"1,093","35,399"
756,"19,502","6,462","3,185","1,889","1,177",840,603,420,315,206,972,"35,571"
784,"20,568","6,856","3,321","1,955","1,243",809,602,420,300,248,994,"37,316"
812,"19,902","6,519","3,141","1,793","1,173",848,562,379,315,205,955,"35,792"
840,"21,010","6,776","3,260","1,914","1,218",818,587,399,307,200,885,"37,374"
868,"21,121","6,930","3,349","1,862","1,186",852,548,385,283,215,895,"37,626"
896,"22,035","7,072","3,154","1,877","1,191",817,570,383,281,184,875,"38,439"
924,"22,005","6,829","3,365","1,780","1,120",807,526,336,261,174,790,"37,993"
952,"20,812","6,433","3,041","1,638",976,668,514,330,247,152,709,"35,520"
980,"17,875","5,366","2,499","1,461",883,526,398,301,206,130,620,"30,265"
"1,008","20,025","6,140","2,858","1,535","1,008",571,417,276,197,136,622,"33,785"
"1,036","21,804","6,336","2,858","1,557",954,631,382,262,185,151,617,"35,737"
"1,064","21,668","6,315","2,698","1,492",862,542,401,267,218,153,564,"35,180"
"1,092","20,953","5,957","2,691","1,357",816,581,370,256,149,129,504,"33,763"
"1,120","20,917","5,757","2,574","1,384",819,529,383,231,158,107,465,"33,324"
"1,148","22,864","6,355","2,647","1,416",770,507,364,240,157,114,510,"35,944"
"1,176","22,389","6,049","2,546","1,307",727,505,296,200,146,104,423,"34,692"
"1,204","23,238","6,063","2,563","1,275",721,466,304,204,120,96,401,"35,451"
"1,232","24,115","6,156","2,618","1,286",713,446,296,198,150,103,351,"36,432"
"1,260","25,215","6,100","2,403","1,159",679,423,307,150,111,84,292,"36,923"
"1,288","25,838","5,835","2,137","1,027",579,368,210,164,110,62,247,"36,577"
"1,316","24,510","5,372","1,891",903,475,300,193,116,89,68,237,"34,154"
"1,344","21,706","4,392","1,520",737,365,250,130,107,62,45,162,"29,476"
"1,372","22,648","4,412","1,517",677,338,234,143,75,73,43,154,"30,314"
"1,400","24,255","4,273","1,313",576,285,175,104,83,60,30,108,"31,262"
"1,428","25,402","3,644","1,075",426,199,128,92,57,40,18,62,"31,143"
"1,456","26,325","2,631",585,209,94,44,33,12,14,13,24,"29,984"
"1,484","4,356",139,21,7,2,2,,1,,,,"4,528"
総計,"1,189,359","374,754","188,783","115,158","77,734","56,366","42,030","31,188","24,091","18,661","125,428","2,243,552"